ALDH1A1	00001	NP_000680.2	ALDH1A1	00001	NP_000680.2	in vivo;yeast 2-hybrid	12081471,16189514
KTN1	02661	NP_891556.1	RHOG	01537	NP_001656.2	in vitro;in vivo	11689693
RHOG	01537	NP_001656.2	VAV2	02694	NP_001127870.1	in vitro;in vivo	11909943,12376551
DOCK1	03240	NP_001371.1	RHOG	01537	NP_001656.2	in vitro;in vivo	12879077
PLD1	03855	NP_002653.1	RHOG	01537	NP_001656.2	in vitro	12376551
ARHGDIG	04163	NP_001167.2	RHOG	01537	NP_001656.2	yeast 2-hybrid	8939998
VAV3	05706	NP_006104.4	RHOG	01537	NP_001656.2	in vitro	10523675
IQGAP2	09253	NP_006624.2	RHOG	01537	NP_001656.2	in vitro	12376551
ECT2	11860	NP_060568.3	RHOG	01537	NP_001656.2	in vitro	12376551
ELMO1	12102	NP_055615.8	RHOG	01537	NP_001656.2	in vivo	12879077
ELMO2	12103	NP_071369.4	RHOG	01537	NP_001656.2	in vitro;in vivo	12879077
ANAPC10	16488	NP_055700.2	LRP1	00138	NP_002323.2	yeast 2-hybrid	10827173
MCF2L	14371	NP_001106203.1	RHOG	01537	NP_001656.2	in vitro	12376551
PPARD	02679	NP_006229.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
RABGGTA	03547	NP_878256.1	RAB1A	01538	NP_004152.1	in vitro	7991565
EIF3F	04887	NP_003745.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
GOLGA5	06079	NP_005104.2	RAB1A	01538	NP_004152.1	in vitro;in vivo;yeast 2-hybrid	12656988,12538640
GORASP2	08303	NP_056345.3	RAB1A	01538	NP_004152.1	in vivo	11739401
USO1	09135	NP_003706.1	RAB1A	01538	NP_004152.1	in vitro;in vivo;yeast 2-hybrid	10903204,16473624
MICALL1	11363	NP_203744.1	RAB1A	01538	NP_004152.1	in vitro;in vivo;yeast 2-hybrid	12788069
BAZ1A	12034	BAA89209.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
ATN1	06311	NP_001931.2	ALG13	06542	NP_079086.1	yeast 2-hybrid	16713569
GDI2	02863	NP_001485.2	RAB2A	01539	NP_002856.1	in vitro	10512627
ZNF592	10339	NP_055445.2	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
BLZF1	16367	NP_003657.1	RAB2A	01539	NP_002856.1	in vitro;yeast 2-hybrid	11739401
MTMR10	07895	NP_060232.2	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
RPH3AL	05345	NP_008918.1	RAB3B	01540	NP_002858.2	in vitro;in vivo	12578829,15159548
RIMS2	09436	NP_001093587.1	RAB3B	01540	NP_002858.2	in vitro	12578829
RPH3A	15273	NP_001137326.1	RAB3B	01540	NP_002858.2	in vitro	8636125
STX4	01722	NP_004595.2	RAB4A	01541	NP_004569.2	in vitro;in vivo	11063739
GDI2	02863	NP_001485.2	RAB4A	01541	NP_004569.2	in vitro	10512627
ATN1	06311	NP_001931.2	MYST3	03244	NP_006757.2	yeast 2-hybrid	16713569
PIN1	03031	NP_006212.1	RAB4A	01541	NP_004569.2	in vitro	10888662
DYNLL1	03334	NP_003737.1	RAB4A	01541	NP_004569.2	yeast 2-hybrid	11243854
RABEP1	04684	NP_004694.2	RAB4A	01541	NP_004569.2	in vitro;in vivo	11788822,9524117
KIF3B	04781	NP_004789.1	RAB4A	01541	NP_004569.2	in vitro;in vivo	12832475
CD2AP	05026	NP_036252.1	RAB4A	01541	NP_004569.2	in vitro;yeast 2-hybrid	12559036
RABAC1	05375	NP_006414.2	RAB4A	01541	NP_004569.2	yeast 2-hybrid	10329441
RAB11FIP1	09787	NP_001002814.1	RAB4A	01541	NP_004569.2	in vitro;in vivo;yeast 2-hybrid	11786538
DYNC1LI1	10917	NP_057225.2	RAB4A	01541	NP_004569.2	yeast 2-hybrid	11243854
RABGEF1	11477	BAC87138.1	RAB4A	01541	NP_004569.2	in vitro;in vivo	11788822
RUFY1	15282	NP_079434.3	RAB4A	01541	NP_004569.2	yeast 2-hybrid	11172003
NR2F6	00583	NP_005225.2	NR2F2	00139	NP_066285.1	in vitro;yeast 2-hybrid	10318855,15604093
ZFYVE20	15732	NP_071735.2	RAB4A	01541	NP_004569.2	in vitro;in vivo	11788822,16034420
MAN1A2	05067	NP_006690.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
STX4	01722	NP_004595.2	RAB5A	01542	NP_004153.2	in vitro;in vivo	11884531
TSC2	01850	NP_000539.2	RAB5A	01542	NP_004153.2	in vitro;in vivo	9045618
GDI2	02863	NP_001485.2	RAB5A	01542	NP_004153.2	in vitro	10512627
SDCBP	03741	NP_005616.2	RAB5A	01542	NP_004153.2	in vitro;in vivo	15014045
RABEP1	04684	NP_004694.2	RAB5A	01542	NP_004153.2	in vitro;in vivo;yeast 2-hybrid	8521472,9045618,15378032
RABAC1	05375	NP_006414.2	RAB5A	01542	NP_004153.2	yeast 2-hybrid	10329441
EEA1	05460	NP_003557.2	RAB5A	01542	NP_004153.2	in vitro;in vivo;yeast 2-hybrid	14600265,10491193,9697774
RIN1	05813	NP_004283.2	RAB5A	01542	NP_004153.2	in vitro;in vivo;yeast 2-hybrid	11703925
MYOD1	01166	NP_002469.2	NR2F2	00139	NP_066285.1	in vitro;in vivo	9826778
RAB37	06702	NP_001006638.1	RAB5A	01542	NP_004153.2	yeast 2-hybrid	10722846
USP6NL	08957	NP_001073960.1	RAB5A	01542	NP_004153.2	in vitro;in vivo	11099046
TBC1D3F	09667	NP_115634.2	RAB5A	01542	NP_004153.2	in vivo	12612085
ALS2CL	10643	NP_667340.2	RAB5A	01542	NP_004153.2	in vitro	15388334
RIN2	15249	NP_061866.1	RAB5A	01542	NP_004153.2	yeast 2-hybrid	12972505
ZFYVE20	15732	NP_071735.2	RAB5A	01542	NP_004153.2	in vitro	11062261,16034420
TBC1D3C	17559	NP_001001418.2	RAB5A	01542	NP_004153.2	in vivo	12359748
RAB6A	01543	NP_002860.2	GDI1	02114	NP_001484.1	in vitro	8175798
RAB6A	01543	NP_002860.2	CHM	02312	NP_000381.1	in vitro	8294464
RAB6A	01543	NP_002860.2	TMF1	03081	NP_009045.2	in vitro	15128430
HDAC1	03143	NP_004955.2	NR2F2	00139	NP_066285.1	in vitro	10704340
BICD1	03730	NP_001705.2	RAB6A	01543	NP_002860.2	in vitro;in vivo;yeast 2-hybrid	12447383,12401177,16473624
GOLGA1	03934	NP_002068.1	RAB6A	01543	NP_002860.2	in vitro	10209123
RAB6A	01543	NP_002860.2	GOLGA4	03941	NP_002069.2	in vitro	10209123
RABAC1	05375	NP_006414.2	RAB6A	01543	NP_002860.2	yeast 2-hybrid	10329441
ERC1	06181	NP_829884.1	RAB6A	01543	NP_002860.2	in vitro;yeast 2-hybrid	11929610
RABGAP1	06575	NP_036329.3	RAB6A	01543	NP_002860.2	in vitro;yeast 2-hybrid	11071909,10202141
SYTL5	06736	NP_620135.1	RAB6A	01543	NP_002860.2	in vitro;in vivo	12051743
RAB6A	01543	NP_002860.2	DCTN1	07206	NP_004073.2	in vitro;in vivo;yeast 2-hybrid	12401177,16473624
KIF20A	09292	NP_005724.1	RAB6A	01543	NP_002860.2	in vitro;in vivo;yeast 2-hybrid	9438855,11071909
BICD2	09826	NP_001003800.1	RAB6A	01543	NP_002860.2	in vitro;in vivo;yeast 2-hybrid	12447383,12401177,16473624
UTRN	00547	NP_009055.2	ACTN2	00019	NP_001094.1	in vitro	12006649
SQSTM1	03319	NP_003891.1	NR2F2	00139	NP_066285.1	in vitro;yeast 2-hybrid	8910285
OTUB1	08493	NP_060140.2	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
UBA6	13341	NP_060697.4	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
TFRC	01812	NP_003225.2	RAB5B	01544	NP_002859.1	in vivo	7789520
EEA1	05460	NP_003557.2	RAB5B	01544	NP_002859.1	in vitro;in vivo;yeast 2-hybrid	12493736,10491193
RIN1	05813	NP_004283.2	RAB5B	01544	NP_002859.1	in vitro;yeast 2-hybrid	11703925
RIN3	11494	NP_079108.3	RAB5B	01544	NP_002859.1	in vitro;yeast 2-hybrid	12972505
RIN2	15249	NP_061866.1	RAB5B	01544	NP_002859.1	in vitro;yeast 2-hybrid	11733506
RAP1A	01545	NP_002875.1	RAP1A	01545	NP_002875.1	in vitro	10224125,7791872
NTRK1	01869	NP_002520.2	RAP1A	01545	NP_002875.1	in vivo	11466412
RALGDS	03371	NP_006257.1	RAP1A	01545	NP_002875.1	in vitro;in vivo;yeast 2-hybrid	10085114
TRIM24	04556	NP_056989.2	NR2F2	00139	NP_066285.1	in vitro	9115274
PRKACA	03382	NP_002721.1	RAP1A	01545	NP_002875.1	in vitro;in vivo	9867809
RGS14	03944	NP_006471.2	RAP1A	01545	NP_002875.1	in vitro;yeast 2-hybrid	10926822
PDE6D	04056	NP_002592.1	RAP1A	01545	NP_002875.1	in vivo;yeast 2-hybrid	11786539
KRIT1	05020	NP_919437.1	RAP1A	01545	NP_002875.1	yeast 2-hybrid	9285558
RABAC1	05375	NP_006414.2	RAP1A	01545	NP_002875.1	in vitro;in vivo;yeast 2-hybrid	11335720
RASA3	05537	NP_031394.2	RAP1A	01545	NP_002875.1	in vivo	2158984
RASGRP4	09540	NP_733749.1	RAP1A	01545	NP_002875.1	in vitro	11880369
RAPGEF6	11483	NP_057424.3	RAP1A	01545	NP_002875.1	in vitro;in vivo	11524421,12581858
RGL4	11528	NP_705843.1	RAP1A	01545	NP_002875.1	in vitro	12874025
RAP1GDS1	11763	NP_001093896.1	RAP1A	01545	NP_002875.1	yeast 2-hybrid	11948427
BCL11A	05949	NP_075044.2	NR2F2	00139	NP_066285.1	in vitro;yeast 2-hybrid	10744719
RAPGEF5	15208	NP_036426.3	RAP1A	01545	NP_002875.1	in vitro	10934204
RASIP1	15214	NP_060275.2	RAP1A	01545	NP_002875.1	in vitro;yeast 2-hybrid	15031288
APBB1IP	16420	NP_061916.3	RAP1A	01545	NP_002875.1	in vitro;in vivo;yeast 2-hybrid	15469846
RMND5A	07841	NP_073617.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
PRKACA	03382	NP_002721.1	RAP1B	01546	NP_056461.1	in vitro	12089143
RGL2	03810	NP_004752.1	RAP1B	01546	NP_056461.1	in vitro	8939933
RASSF5	06117	NP_872604.1	RAP1B	01546	NP_056461.1	in vitro;in vivo	9488663
RAP2A	01547	NP_066361.1	RAP2A	01547	NP_066361.1	in vitro	10224125
RALGDS	03371	NP_006257.1	RAP2A	01547	NP_066361.1	in vitro;in vivo;yeast 2-hybrid	10085114
RGS14	03944	NP_006471.2	RAP2A	01547	NP_066361.1	in vitro;yeast 2-hybrid	10926822
BCL11B	05950	NP_612808.1	NR2F2	00139	NP_066285.1	in vitro;yeast 2-hybrid	10744719
GRIN2D	04095	NP_000827.2	RAP2A	01547	NP_066361.1	in vivo	10862698
RASSF5	06117	NP_872604.1	RAP2A	01547	NP_066361.1	in vitro;yeast 2-hybrid	11857081
RAPGEF6	11483	NP_057424.3	RAP2A	01547	NP_066361.1	in vitro;in vivo	11524421,12581858
RAPGEF5	15208	NP_036426.3	RAP2A	01547	NP_066361.1	in vitro	10777494
RASIP1	15214	NP_060275.2	RAP2A	01547	NP_066361.1	yeast 2-hybrid	15031288
GRIN1	15926	NP_015566.1	RAP2A	01547	NP_066361.1	in vivo	10862698
RUNDC3A	16106	NP_001138297.1	RAP2A	01547	NP_066361.1	in vitro;in vivo;yeast 2-hybrid	9523700
TNIK	18206	NP_055843.1	RAP2A	01547	NP_066361.1	in vitro;yeast 2-hybrid	15342639
RALGDS	03371	NP_006257.1	RAP2B	01548	NP_002877.2	in vitro;in vivo;yeast 2-hybrid	10085114
PDE6D	04056	NP_002592.1	RAP2B	01548	NP_002877.2	in vivo;yeast 2-hybrid	11786539
PIAS1	16029	NP_057250.1	NR2F2	00139	NP_066285.1	in vitro;yeast 2-hybrid	15666827,15611122
RAPGEF5	15208	NP_036426.3	RAP2B	01548	NP_002877.2	in vitro	10934204
FLNA	02060	NP_001104026.1	RALA	01549	NP_005393.2	in vitro;in vivo	10051605
PLD1	03855	NP_002653.1	RALA	01549	NP_005393.2	in vitro;in vivo	9207251
RASSF5	06117	NP_872604.1	RALA	01549	NP_005393.2	yeast 2-hybrid	9488663
CNKSR2	06473	NP_055742.2	RALA	01549	NP_005393.2	in vivo	14597674
EXOC5	07258	NP_006535.1	RALA	01549	NP_005393.2	in vitro	11406615
EXOC1	07615	NP_060731.2	RALA	01549	NP_005393.2	in vitro	11406615
RALBP1	09013	NP_006779.1	RALA	01549	NP_005393.2	in vitro;yeast 2-hybrid	7673236
REPS1	09687	NP_114128.3	RALA	01549	NP_005393.2	in vitro;yeast 2-hybrid	7623849
EXOC3	09738	NP_009208.2	RALA	01549	NP_005393.2	in vitro	11406615
EPHB2	02997	NP_004433.2	AQP1	00140	NP_000376.1	in vivo;yeast 2-hybrid	10839360
EXOC8	09943	NP_787072.2	RALA	01549	NP_005393.2	in vitro;in vivo;yeast 2-hybrid	14525976,11406615
RAB8B	11476	NP_057614.1	RALA	01549	NP_005393.2	in vitro;in vivo	10889189
RALGPS1	11479	NP_055451.1	RALA	01549	NP_005393.2	in vitro;in vivo	10889189
RGL4	11528	NP_705843.1	RALA	01549	NP_005393.2	in vitro	12874025
EXOC2	11544	NP_060773.3	RALA	01549	NP_005393.2	in vitro;in vivo;yeast 2-hybrid	14525976,12624092,11744922,12839989
EXOC4	12185	NP_068579.3	RALA	01549	NP_005393.2	in vitro	11406615
EXOC7	16292	NP_001138769.1	RALA	01549	NP_005393.2	in vitro	11406615
RALA	01549	NP_005393.2	CALM1	00241	NP_008819.1	in vitro;in vivo;yeast 2-hybrid	9188503
PHKA2	02380	NP_000283.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
ZFYVE9	04782	NP_004790.2	PPP1CA	15942	NP_001008709.1	yeast 2-hybrid	15231748
PICK1	16176	NP_036539.1	AQP1	00140	NP_000376.1	yeast 2-hybrid	10839360
REPS2	02262	Q8NFH8	RALB	01550	NP_002872.1	in vitro	9422736
RALBP1	09013	NP_006779.1	RALB	01550	NP_002872.1	in vitro;yeast 2-hybrid	7673236
REPS1	09687	NP_114128.3	RALB	01550	NP_002872.1	in vitro	9422736
RGL4	11528	NP_705843.1	RALB	01550	NP_002872.1	in vitro	12874025
RALB	01550	NP_002872.1	CALM1	00241	NP_008819.1	in vitro;in vivo;yeast 2-hybrid	12034722
PTPRF	01552	NP_002831.2	PTPRF	01552	NP_002831.2	in vivo;yeast 2-hybrid	10777529
CDH1	01885	BAA88957.1	PTPRF	01552	NP_002831.2	in vivo	12095414
PTPRF	01552	NP_002831.2	IRS2	02878	NP_003740.2	in vitro	8732688,15588985
CAV1	03028	NP_001744.2	PTPRF	01552	NP_002831.2	in vivo	12176037
TRIO	03537	NP_009049.2	PTPRF	01552	NP_002831.2	in vitro;in vivo	8643598
ATN1	06311	NP_001931.2	RBM10	02095	NP_005667.2	yeast 2-hybrid	16713569
BCAR1	04248	NP_055382.2	PTPRF	01552	NP_002831.2	in vivo	10822386,10320483,15588985
PPFIA2	04392	NP_003616.2	PTPRF	01552	NP_002831.2	in vitro;in vivo	9624153
PPFIA3	04393	NP_003651.1	PTPRF	01552	NP_002831.2	in vitro;in vivo	9624153
FRS2	06372	NP_006645.3	PTPRF	01552	NP_002831.2	in vivo	10822386
PPFIA1	11451	NP_003617.1	PTPRF	01552	NP_002831.2	in vitro;in vivo;yeast 2-hybrid	8524829,7796809,9624153
ZFYVE9	04782	NP_004790.2	BAT3	00808	NP_004630.3	yeast 2-hybrid	15231748
ROM1	01616	NP_000318.1	PRPH2	01553	NP_000313.2	in vitro;in vivo	11641407,10681511
GRAP2	05156	NP_004801.1	PRPH2	01553	NP_000313.2	in vitro	11641407
CNGB1	07204	NP_001288.3	PRPH2	01553	NP_000313.2	in vitro	11641407
EFNA1	01858	NP_004419.2	EPHA1	01554	NP_005223.4	in vitro;in vivo	8755474,11519828
AQP2	00141	NP_000477.1	AQP2	00141	NP_000477.1	in vivo	12051765,11076974
EPHA3	01555	NP_005224.2	EPHA3	01555	NP_005224.2	in vitro	11870224
EFNB2	02754	NP_004084.1	EPHA3	01555	NP_005224.2	in vitro;in vivo	8559144
EFNA5	03324	NP_001953.1	EPHA3	01555	NP_005224.2	in vitro;in vivo	9751130,9195962,9245480
EFNA2	04132	NP_001396.2	EPHA3	01555	NP_005224.2	in vitro;in vivo	9751130
RUFY2	11526	NP_060457.4	EPHA3	01555	NP_005224.2	in vivo;yeast 2-hybrid	11877430
RUFY1	15282	NP_079434.3	EPHA3	01555	NP_005224.2	in vitro;yeast 2-hybrid	11877430
KPNA2	02818	NP_002257.1	RAG1	01556	NP_000439.1	yeast 2-hybrid	8016130
UBAC1	12170	NP_057256.2	LAPTM5	03280	NP_006753.1	yeast 2-hybrid	15231748
RAG2	08913	NP_000527.2	RAG1	01556	NP_000439.1	in vitro;in vivo	9036966,12861017
RAD51	01557	NP_597994.3	RAD51	01557	NP_597994.3	in vivo	12442171
EPRS	00703	NP_004437.2	RARS	00142	NP_002878.2	yeast 2-hybrid	9556618
RPA1	01565	NP_002936.1	RAD51	01557	NP_597994.3	in vitro;in vivo	12077133,9826763
ABL1	01809	NP_009297.2	RAD51	01557	NP_597994.3	in vitro;in vivo	9461559,10212258
TP53	01859	NP_000537.3	RAD51	01557	NP_597994.3	in vitro;in vivo	9380510,8617246
FANCD2	01968	NP_149075.2	RAD51	01557	NP_597994.3	in vivo	12239151
BRCA2	02554	NP_000050.2	RAD51	01557	NP_597994.3	in vitro;in vivo;yeast 2-hybrid	9126738,12619154,11477095,15800651,15800615,9560268,10551859,9523196,9405383,15065660
CASP3	02799	NP_004337.2	RAD51	01557	NP_597994.3	in vitro;in vivo	10082566,10998058
SUMO1	03554	NP_003343.1	RAD51	01557	NP_597994.3	in vivo;yeast 2-hybrid	8812453,9891849
DMC1	04099	NP_008999.2	RAD51	01557	NP_597994.3	in vivo;yeast 2-hybrid	10562567
RAD51AP1	04350	AAH16330.1	RAD51	01557	NP_597994.3	in vitro;yeast 2-hybrid	9396801
RAD54L	04683	NP_003570.2	RAD51	01557	NP_597994.3	in vitro;in vivo	12205100
SELE	00566	NP_000441.2	ACTN2	00019	NP_001094.1	in vitro	8609175
ATN1	06311	NP_001931.2	KRTAP4-12	13941	NP_114060.1	yeast 2-hybrid	16713569
RAD54B	05049	NP_036547.1	RAD51	01557	NP_597994.3	in vivo	10851248
BLM	05211	NP_000048.1	RAD51	01557	NP_597994.3	in vitro;in vivo	11278509
C17orf28	05766	NP_085133.1	RAD51	01557	NP_597994.3	in vitro;in vivo	10562567
ATM	06347	NP_000042.3	RAD51	01557	NP_597994.3	in vitro;in vivo	10212258
UBE2I	09045	NP_003336.1	RAD51	01557	NP_597994.3	in vivo;yeast 2-hybrid	8921390,8610150
DNAJA3	09758	NP_005138.3	RAD51	01557	NP_597994.3	in vitro;in vivo	11005857
BCCIP	16542	NP_057651.1	RAD51	01557	NP_597994.3	in vivo	15713648
GRK1	01585	NP_002920.1	RCVRN	01558	NP_002894.1	in vitro	9753452
GRK6	02925	NP_002073.2	RCVRN	01558	NP_002894.1	in vivo	12507501
GRK5	02926	NP_005299.1	RCVRN	01558	NP_002894.1	in vivo	12507501
ATN1	06311	NP_001931.2	LTBP4	05274	NP_001036009.1	yeast 2-hybrid	16713569
CAV1	03028	NP_001744.2	RCVRN	01558	NP_002894.1	in vivo	12507501
PTMA	01778	NP_001092755.1	RCC1	01559	NP_001041659.1	in vitro	11310559
CSNK1A1	02739	NP_001020276.1	RCC1	01559	NP_001041659.1	in vitro;in vivo	12062430
NUP98	03012	NP_057404.2	RCC1	01559	NP_001041659.1	in vitro	10875935
RAN	03109	NP_006316.1	RCC1	01559	NP_001041659.1	in vivo	10369786
RANBP1	03110	NP_002873.1	RCC1	01559	NP_001041659.1	in vitro	7616957
HIST2H2BE	03494	NP_003519.1	RCC1	01559	NP_001041659.1	in vitro	11375490
KPNA3	03536	NP_002258.2	RCC1	01559	NP_001041659.1	in vitro	10744690
XPO1	03975	NP_003391.1	RCC1	01559	NP_001041659.1	in vitro	11932251
RANBP3	04508	NP_015561.1	RCC1	01559	NP_001041659.1	in vitro;in vivo;yeast 2-hybrid	11932251
ATN1	06311	NP_001931.2	NCK2	05378	NP_003572.2	yeast 2-hybrid	16713569
HIST2H2AA3	08851	NP_003507.1	RCC1	01559	NP_001041659.1	in vitro	11375490
RXFP1	05975	NP_067647.2	RLN1	01560	NP_008842.1	in vitro;in vivo	11809971
RXFP1	05975	NP_067647.2	RLN2	01561	NP_604390.1	in vitro	12506116,15649866
RXFP2	05976	NP_570718.1	RLN2	01561	NP_604390.1	in vitro	12506116,15649866
RENBP	02423	NP_002901.2	REN	01564	NP_000528.1	in vitro	11098137
ATP6AP2	06454	NP_005756.2	REN	01564	NP_000528.1	in vitro;in vivo	12045255
PCSK5	08985	NP_006191.2	REN	01564	NP_000528.1	in vitro	8901832
DNAJC7	07046	AAH11837.2	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
RPA2	01566	NP_002937.1	RPA1	01565	NP_002936.1	in vitro;in vivo	9461578,12754299
RPA3	01567	NP_002938.1	RPA1	01565	NP_002936.1	in vitro	9461578
AIMP1	04676	NP_001135888.1	RARS	00142	NP_002878.2	in vitro	10358004
TP53	01859	NP_000537.3	RPA1	01565	NP_002936.1	in vitro;in vivo	11751427,8361542,15735006,15489903
XPA	02045	NP_000371.1	RPA1	01565	NP_002936.1	in vitro;in vivo	7565690
PRKDC	02941	NP_008835.5	RPA1	01565	NP_002936.1	in vitro	10064605
ORC2L	03112	NP_006181.1	RPA1	01565	NP_002936.1	yeast 2-hybrid	12614612
MSH4	03658	NP_002431.2	RPA1	01565	NP_002936.1	in vitro;in vivo	11950880
BLM	05211	NP_000048.1	RPA1	01565	NP_002936.1	in vitro	10825162
WRN	05212	NP_000544.2	RPA1	01565	NP_002936.1	in vitro;in vivo	10373438,15735006
MUTYH	05380	NP_001121897.1	RPA1	01565	NP_002936.1	in vivo	11092888
RPA4	06591	NP_037479.1	RPA1	01565	NP_002936.1	in vitro;in vivo	7760808
TREX1	09423	NP_569055.1	RPA1	01565	NP_002936.1	in vitro	12791985
ATN1	06311	NP_001931.2	SYVN1	07618	NP_757385.1	yeast 2-hybrid	16713569
RPA1	01565	NP_002936.1	HELB	09979	NP_387467.2	in vitro	12181327
RAD52	11855	NP_002870.2	RPA1	01565	NP_002936.1	in vitro	12139939
TBCD	05227	NP_005984.3	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
RPA3	01567	NP_002938.1	RPA2	01566	NP_002937.1	in vitro;in vivo	11081631,9461578,11173472
UNG	01881	NP_550433.1	RPA2	01566	NP_002937.1	in vitro;in vivo;yeast 2-hybrid	9045683
XPA	02045	NP_000371.1	RPA2	01566	NP_002937.1	in vitro	11081631
PRKDC	02941	NP_008835.5	RPA2	01566	NP_002937.1	in vitro	11731442,10064605,9295339
ORC2L	03112	NP_006181.1	RPA2	01566	NP_002937.1	yeast 2-hybrid	12614612
CCNO	06375	NP_066970.3	RPA2	01566	NP_002937.1	in vitro;in vivo;yeast 2-hybrid	11081631,10393198
ATN1	06311	NP_001931.2	MEGF11	14385	NP_115821.2	yeast 2-hybrid	16713569
RAD52	11855	NP_002870.2	RPA2	01566	NP_002937.1	in vitro	11081631
SERTAD3	15327	NP_037500.2	RPA2	01566	NP_002937.1	in vitro;in vivo;yeast 2-hybrid	10982866
YWHAQ	00886	NP_006817.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
RPA4	06591	NP_037479.1	RPA3	01567	NP_002938.1	in vitro;in vivo	7760808
PAFAH1B1	03329	NP_000421.1	CLIP1	01568	NP_002947.1	in vitro;in vivo;yeast 2-hybrid	11940666
IQGAP1	04541	NP_003861.1	CLIP1	01568	NP_002947.1	in vitro;in vivo	12110184
DCTN1	07206	NP_004073.2	CLIP1	01568	NP_002947.1	in vivo	12789661
CLASP2	12054	NP_055912.1	CLIP1	01568	NP_002947.1	in vitro;yeast 2-hybrid	11290329
RDH5	03370	NP_002896.2	RLBP1	01572	NP_000317.1	in vitro	12536149
RXRA	01577	NP_002948.1	RARG	01573	NP_000957.1	in vitro;yeast 2-hybrid	9083083,15604093
ATN1	06311	NP_001931.2	RHOXF2	02345	NP_115887.1	yeast 2-hybrid	16713569
FTL	00616	NP_000137.2	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
RB1	01574	NP_000312.2	RB1	01574	NP_000312.2	in vitro;in vivo	11268000,12502741
TMPO	01777	NP_003267.1	RB1	01574	NP_000312.2	in vivo	12475961
SP1	01796	NP_612482.2	RB1	01574	NP_000312.2	in vivo	7732011,10850422
CEBPB	01801	NP_005185.2	RB1	01574	NP_000312.2	in vitro;in vivo	11596110,8552662
PNPLA2	11443	NP_065109.1	SMAD9	04484	BAA21128.1	yeast 2-hybrid	15231748
ELF1	01808	NP_758961.1	RB1	01574	NP_000312.2	in vitro;in vivo	8493578
ABL1	01809	NP_009297.2	RB1	01574	NP_000312.2	in vitro;in vivo	8242749,7828850
MYC	01818	NP_002458.2	RB1	01574	NP_000312.2	in vivo	7838535
TGM2	01825	NP_004604.2	RB1	01574	NP_000312.2	in vitro	9315663
QARS	07223	NP_005042.1	RARS	00142	NP_002878.2	in vitro	10801842
SUV39H1	02221	NP_003164.1	RB1	01574	NP_000312.2	in vitro;in vivo	11484059,11533237
MORF4L2	02326	NP_036418.1	RB1	01574	NP_000312.2	in vitro	14506250
POLA1	02416	NP_058633.2	RB1	01574	NP_000312.2	in vitro;in vivo	9395244
TAF1	02436	NP_004597.2	RB1	01574	NP_000312.2	in vitro;in vivo	9242374,9858607,7724524
AR	02437	NP_000035.2	RB1	01574	NP_000312.2	in vitro	9675141
AHR	02596	NP_001612.1	RB1	01574	NP_000312.2	in vitro;in vivo	9712901,11259609
E2F2	02692	NP_004082.1	RB1	01574	NP_000312.2	in vitro;in vivo	7739537,8832394,12502741,17380128
E2F3	02693	NP_001940.1	RB1	01574	NP_000312.2	in vivo	8832394,7739537
CASP3	02799	NP_004337.2	RB1	01574	NP_000312.2	in vitro	11420704
E2F4	02806	NP_001941.2	RB1	01574	NP_000312.2	in vivo	8657117
ATN1	06311	NP_001931.2	BAT2L1	13805	NP_037450.2	yeast 2-hybrid	16713569
UBTF	02814	NP_055048.1	RB1	01574	NP_000312.2	in vitro;in vivo	11042686
RBBP5	02826	NP_005048.2	RB1	01574	NP_000312.2	in vitro	7558034
PRDM2	03120	NP_036363.2	RB1	01574	NP_000312.2	in vitro;in vivo	7538672
HDAC1	03143	NP_004955.2	RB1	01574	NP_000312.2	in vivo	9491888,10888886,11896613,9468140,9468139
BAG1	03292	NP_004314.4	RB1	01574	NP_000312.2	in vitro;in vivo;yeast 2-hybrid	12845674
SMARCB1	03364	NP_003064.2	RB1	01574	NP_000312.2	in vitro	11085541
SP3	03483	NP_003102.1	RB1	01574	NP_000312.2	in vivo	7732011
RING1	03624	NP_002922.2	RB1	01574	NP_000312.2	in vivo	11583618
PA2G4	03685	NP_006182.2	RB1	01574	NP_000312.2	in vitro;in vivo	11268000
SNAPC3	03826	NP_003075.1	RB1	01574	NP_000312.2	in vitro;in vivo	11094070
ARG1	01947	NP_000036.2	ARG2	00143	NP_001163.1	in vivo	11849441
CTBP1	04015	NP_001319.1	RB1	01574	NP_000312.2	in vivo	11583618
MNAT1	04042	NP_002422.1	RB1	01574	NP_000312.2	in vitro;in vivo	11113200
MDM4	04082	NP_002384.2	RB1	01574	NP_000312.2	in vivo	16510145
